Gender,Occupation,Education,Home Ownership,Having Money / Jewelry / Livestock / Other Savings,Roof Type,Wall Type,Floor Type,Source of Lighting,Cooking Fuel,Source of Drinking Water,Have Defecation facilities,Beneficiaries,Stunting Risk
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Wiraswasta,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Seng,Kayu/Papan,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tamat SMA/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Petani,Tidak/belum sekolah,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Kayu/Papan,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Perempuan,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Ya, dengan Septic Tank",Tidak,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Kayu/Papan,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Perempuan,Tidak/belum bekerja,Tidak/belum sekolah,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Listrik/Gas,Sumur Bor,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Perempuan,Tidak/belum bekerja,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Tembok,Tanah,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Tidak/belum bekerja,Tidak/belum sekolah,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Kayu/Papan,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Tidak/belum bekerja,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Pedagang,Tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Kayu/Papan,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Perempuan,Tidak/belum bekerja,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Kayu/Papan,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Seng,Kayu/Papan,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Perempuan,Pekerja Lepas,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tamat SD/sederajat,Menumpang,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Perempuan,Pekerja Lepas,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tidak/belum sekolah,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Kayu/Sirap,Kayu/Papan,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Petani,Tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Perempuan,Tidak/belum bekerja,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Listrik/Gas,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Perempuan,Tidak/belum bekerja,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Tidak/belum bekerja,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Seng,Kayu/Papan,Non-Listrik,Minyak Tanah,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tidak/belum sekolah,Menumpang,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tidak/belum sekolah,Milik Sendiri,Ya,Bambu,Bambu,Bambu,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Perempuan,Tidak/belum bekerja,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tamat Perguruan Tinggi,Bebas Sewa,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Kayu/Papan,Non-Listrik,Listrik/Gas,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Bambu,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Perempuan,Petani,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Bambu,Non-Listrik,Minyak Tanah,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Kayu/Papan,Non-Listrik,Minyak Tanah,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Wiraswasta,Siswa SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Perempuan,Petani,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Kayu/Papan,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Milik Sendiri,Ya,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tidak/belum sekolah,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Kayu/Papan,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Kayu/Papan,Kayu/Papan,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Pekerja Lepas,Tamat SD/sederajat,Milik Sendiri,Tidak,Asbes/Seng,Bambu,Tanah,Listrik Bersama,Arang/Kayu,Sumur Terlindung,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Pekerja Lepas,Tidak tamat SD/sederajat,Kontrak/Sewa,Tidak,Asbes/Seng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Ya,0
Laki-laki,Wiraswasta,Tamat SMA/sederajat,Menumpang,Ya,Asbes/Seng,Tembok,Keramik/Granit/Marmer/Ubin/Tegel/Teraso,Listrik Bersama,Listrik/Gas,Sumur Bor,"Ya, dengan Septic Tank",Ya,2
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Ya,Asbes/Seng,Kayu/Papan,Tanah,Listrik Bersama,Listrik/Gas,Ledeng/PAM,"Tidak, Jamban Umum/Bersama",Ya,0
