Gender,Occupation,Education,Home Ownership,Having Money / Jewelry / Livestock / Other Savings,Roof Type,Wall Type,Floor Type,Source of Lighting,Cooking Fuel,Source of Drinking Water,Have Defecation facilities,Beneficiaries,Stunting Risk
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Nelayan,Tamat SD/sederajat,Milik Sendiri,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Tidak,1
Laki-laki,Nelayan,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Bambu,Non-Listrik,Arang/Kayu,Sumur Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,1
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
Laki-laki,Petani,Tidak tamat SD/sederajat,Menumpang,Tidak,Jerami/Ijuk/Rumbia/Daun-daunan,Bambu,Tanah,Non-Listrik,Arang/Kayu,Sumur Tidak Terlindung,"Tidak, Jamban Umum/Bersama",Ya,0
