Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,2520.000000,2590.000000,2500.000000,2510.000000,2105.547363,1635300
2020-07-27,2520.000000,2590.000000,2510.000000,2560.000000,2147.490479,2569600
2020-07-28,2540.000000,2590.000000,2500.000000,2510.000000,2105.547363,2570600
2020-07-29,2510.000000,2540.000000,2340.000000,2340.000000,1962.940308,14882100
2020-07-30,2350.000000,2420.000000,2210.000000,2300.000000,1929.385864,12918400
2020-08-03,2320.000000,2330.000000,2140.000000,2170.000000,1820.333618,8778700
2020-08-04,2170.000000,2330.000000,2170.000000,2320.000000,1946.163208,5098900
2020-08-05,2340.000000,2370.000000,2270.000000,2360.000000,1979.717773,4611700
2020-08-06,2350.000000,2440.000000,2350.000000,2400.000000,2013.272461,6064100
2020-08-07,2400.000000,2430.000000,2330.000000,2390.000000,2004.883667,3955800
2020-08-10,2430.000000,2430.000000,2390.000000,2390.000000,2004.883667,2045300
2020-08-11,2400.000000,2430.000000,2380.000000,2410.000000,2021.660767,2564900
2020-08-12,2410.000000,2440.000000,2340.000000,2390.000000,2004.883667,2976300
2020-08-13,2390.000000,2530.000000,2390.000000,2510.000000,2105.547363,12907200
2020-08-14,2520.000000,2570.000000,2460.000000,2540.000000,2130.713135,8406900
2020-08-18,2530.000000,2570.000000,2490.000000,2490.000000,2088.770020,6776700
2020-08-19,2530.000000,2530.000000,2460.000000,2490.000000,2088.770020,4034700
2020-08-24,2500.000000,2510.000000,2430.000000,2460.000000,2063.604248,2377900
2020-08-25,2490.000000,2510.000000,2460.000000,2470.000000,2071.992676,3045000
2020-08-26,2470.000000,2540.000000,2440.000000,2500.000000,2097.158691,8676200
2020-08-27,2510.000000,2540.000000,2390.000000,2430.000000,2038.438110,11288200
2020-08-28,2430.000000,2440.000000,2360.000000,2380.000000,1996.494995,3843200
2020-08-31,2400.000000,2420.000000,2250.000000,2300.000000,1929.385864,7804200
2020-09-01,2300.000000,2350.000000,2290.000000,2300.000000,1929.385864,2652800
2020-09-02,2310.000000,2340.000000,2300.000000,2330.000000,1954.551880,4515700
2020-09-03,2350.000000,2420.000000,2340.000000,2360.000000,1979.717773,6971500
2020-09-04,2330.000000,2360.000000,2300.000000,2310.000000,1937.774658,3701500
2020-09-07,2320.000000,2320.000000,2260.000000,2290.000000,1920.997192,2098200
2020-09-08,2300.000000,2310.000000,2250.000000,2260.000000,1895.831421,2616500
2020-09-09,2250.000000,2290.000000,2200.000000,2220.000000,1862.276733,2723500
2020-09-10,2220.000000,2220.000000,2080.000000,2080.000000,1744.835938,5892300
2020-09-11,2080.000000,2280.000000,1950.000000,2250.000000,1887.442749,3827500
2020-09-14,2260.000000,2350.000000,2250.000000,2260.000000,1895.831421,5787700
2020-09-15,2260.000000,2290.000000,2160.000000,2170.000000,1820.333618,2937600
2020-09-16,2170.000000,2220.000000,2160.000000,2170.000000,1820.333618,1344100
2020-09-17,2170.000000,2200.000000,2110.000000,2130.000000,1786.779175,1552500
2020-09-18,2120.000000,2190.000000,2120.000000,2150.000000,1803.556519,1460700
2020-09-21,2160.000000,2170.000000,2020.000000,2030.000000,1702.892700,3178800
2020-09-22,2030.000000,2070.000000,1965.000000,2000.000000,1677.726929,4609900
2020-09-23,2000.000000,2050.000000,1945.000000,1955.000000,1639.978027,4831900
2020-09-24,1955.000000,1955.000000,1870.000000,1930.000000,1619.006348,5155800
2020-09-25,1950.000000,1980.000000,1915.000000,1945.000000,1631.589355,3515900
2020-09-28,1965.000000,2040.000000,1950.000000,2040.000000,1711.281494,4955400
2020-09-29,2060.000000,2070.000000,1990.000000,2020.000000,1694.504150,4591800
2020-09-30,2030.000000,2030.000000,1955.000000,1990.000000,1669.338379,2763500
2020-10-01,1990.000000,2140.000000,1990.000000,2070.000000,1736.447388,6981400
2020-10-02,2070.000000,2070.000000,1985.000000,2000.000000,1677.726929,2976600
2020-10-05,2030.000000,2040.000000,2000.000000,2020.000000,1694.504150,1033000
2020-10-06,2100.000000,2110.000000,2040.000000,2040.000000,1711.281494,4948000
2020-10-07,2040.000000,2130.000000,2020.000000,2080.000000,1744.835938,7003400
2020-10-08,2080.000000,2120.000000,2060.000000,2070.000000,1736.447388,2707700
2020-10-09,2070.000000,2100.000000,2060.000000,2070.000000,1736.447388,1309100
2020-10-12,2080.000000,2110.000000,2050.000000,2060.000000,1728.058716,2158000
2020-10-13,2060.000000,2100.000000,2030.000000,2060.000000,1728.058716,5637900
2020-10-14,2060.000000,2120.000000,2050.000000,2090.000000,1753.224487,8956600
2020-10-15,2070.000000,2100.000000,2030.000000,2040.000000,1711.281494,4049600
2020-10-16,2040.000000,2080.000000,2030.000000,2050.000000,1719.670166,3887500
2020-10-19,2070.000000,2080.000000,2040.000000,2070.000000,1736.447388,3706400
2020-10-20,2070.000000,2070.000000,2020.000000,2040.000000,1711.281494,1771100
2020-10-21,2050.000000,2080.000000,2030.000000,2050.000000,1719.670166,1762500
2020-10-22,2050.000000,2060.000000,2020.000000,2040.000000,1711.281494,858900
2020-10-23,2040.000000,2070.000000,2030.000000,2050.000000,1719.670166,971200
2020-10-26,2050.000000,2070.000000,2000.000000,2020.000000,1694.504150,7546700
2020-10-27,2020.000000,2040.000000,2000.000000,2010.000000,1686.115601,1822600
2020-11-02,2020.000000,2020.000000,1990.000000,2010.000000,1686.115601,2103400
2020-11-03,2040.000000,2050.000000,2000.000000,2010.000000,1686.115601,1033400
2020-11-04,2040.000000,2050.000000,1990.000000,1995.000000,1673.532471,4331100
2020-11-05,2020.000000,2130.000000,2000.000000,2120.000000,1778.390503,14215500
2020-11-06,2120.000000,2170.000000,2060.000000,2140.000000,1795.167725,8798100
2020-11-09,2150.000000,2150.000000,2090.000000,2110.000000,1770.001953,5303800
2020-11-10,2130.000000,2140.000000,2090.000000,2090.000000,1753.224487,4388100
2020-11-11,2130.000000,2230.000000,2090.000000,2180.000000,1828.722290,11281900
2020-11-12,2190.000000,2200.000000,2130.000000,2150.000000,1803.556519,4241500
2020-11-13,2170.000000,2220.000000,2150.000000,2200.000000,1845.499634,4786400
2020-11-16,2200.000000,2250.000000,2200.000000,2220.000000,1862.276733,4248500
2020-11-17,2250.000000,2260.000000,2220.000000,2230.000000,1870.665405,4764500
2020-11-18,2240.000000,2250.000000,2180.000000,2200.000000,1845.499634,4476800
2020-11-19,2200.000000,2210.000000,2180.000000,2190.000000,1837.110962,4394300
