energy_0,contrast_0,correlation_0,homogeneity_0,energy_45,contrast_45,correlation_45,homogeneity_45,energy_90,contrast_90,correlation_90,homogeneity_90,energy_135,contrast_135,correlation_135,homogeneity_135,label
0.790299447,50.87323687,0.960399186,0.840010993,0.788739122,66.38787842,0.94847817,0.830367,0.79048175,44.34852262,0.965478163,0.841669547,0.788800455,64.38513184,0.950032447,0.830870585,1
0.82916066,53.21315661,0.949430771,0.871407898,0.828060376,58.29165649,0.944782988,0.864438554,0.829495239,42.82131566,0.959306287,0.873528347,0.827663226,75.37701416,0.928598812,0.861868776,1
0.864461931,40.36849465,0.938732893,0.899119527,0.863256686,59.25741577,0.910369637,0.891247533,0.864386026,44.67375973,0.932198808,0.897732965,0.863210727,57.85025024,0.912498059,0.890850084,1
0.865579625,36.06839737,0.940509385,0.900128445,0.864408942,48.23471069,0.920713727,0.893524435,0.865625482,33.02693337,0.945525926,0.900834772,0.86443969,45.21069336,0.925684485,0.893629222,1
0.869522822,26.35806785,0.942819452,0.901318423,0.868276897,36.05636597,0.922042855,0.895518933,0.869508174,26.97078672,0.941490235,0.902071187,0.868337774,36.85491943,0.92031631,0.895352995,1
0.861012472,32.84995136,0.938547358,0.895123128,0.859716884,46.86303711,0.912626393,0.886755011,0.861026891,32.06389835,0.940017833,0.893846944,0.859793408,44.44793701,0.917129217,0.88764805,1
0.791981131,101.6809035,0.939631053,0.840147667,0.790979642,127.9266357,0.924106079,0.830196068,0.793167391,84.58134728,0.949667332,0.843404135,0.791177858,125.5894165,0.92549266,0.830110721,1
0.858011477,60.87691513,0.93292643,0.890897398,0.856889033,73.27047729,0.91954072,0.885841322,0.858225431,50.02775413,0.944879926,0.893644519,0.856858397,77.41567993,0.914988818,0.884504549,1
0.796772058,74.99343385,0.955197964,0.841092399,0.795346219,95.64151001,0.943036659,0.831788054,0.796772318,75.66843993,0.954794707,0.841615973,0.794919302,110.986084,0.93389755,0.830400363,1
0.765731341,124.2948991,0.960598383,0.822436199,0.764443453,161.5333557,0.948717692,0.809879364,0.766642785,106.3432636,0.966139155,0.823898062,0.764276346,164.7091064,0.94770948,0.811246074,1
0.853994312,65.80517388,0.941668002,0.886332988,0.852185083,107.3283997,0.905176816,0.878176028,0.853811824,71.81018969,0.936344947,0.885308789,0.852978601,79.9942627,0.929326155,0.879663084,1
0.791419501,75.90807393,0.956172744,0.840662404,0.789986325,93.30618286,0.94628997,0.831533583,0.791327427,77.80447471,0.955077814,0.838792582,0.789359606,122.3321838,0.929581673,0.827575757,1
0.866372028,48.56456712,0.926699761,0.899236246,0.865251122,60.69030762,0.908706845,0.892117519,0.866554443,41.25489421,0.937732512,0.900453391,0.86525092,65.55636597,0.901387096,0.892660639,1
0.846530397,41.95078429,0.943200616,0.884024096,0.845284219,53.64434814,0.927604862,0.875632964,0.846651979,37.29708779,0.949501502,0.884416303,0.845285001,54.16647339,0.926900234,0.87667092,1
0.876941603,30.82657466,0.92988959,0.909838261,0.875754205,41.54803467,0.905829668,0.903178853,0.876941013,28.7264713,0.934665959,0.910516445,0.875845415,40.51776123,0.908164825,0.903498482,1
0.831785607,47.67910992,0.953852292,0.871281586,0.830482822,62.15402222,0.94003707,0.86321172,0.831953734,42.64524562,0.958724474,0.872411578,0.830619743,57.06143188,0.944950134,0.863091946,1
0.860430367,45.87539518,0.932743405,0.895127942,0.85902615,62.51647949,0.908652366,0.887372056,0.860764092,34.11104694,0.949990777,0.895156269,0.859361946,55.0088501,0.91962234,0.887605831,1
0.771574265,55.16530885,0.963426564,0.82302652,0.769421977,88.19165039,0.941700295,0.81145189,0.771196325,65.59235165,0.956513655,0.823347864,0.769712947,78.14361572,0.948342618,0.813906758,1
0.840812108,40.17141902,0.961408526,0.878223478,0.839270559,63.32235718,0.939367494,0.870599299,0.840645663,45.24945282,0.956530212,0.880000452,0.83945325,55.52398682,0.9468346,0.871027903,1
0.854730602,43.67847155,0.942195766,0.889647602,0.853579696,56.45651245,0.925533423,0.883357236,0.854761225,43.04483828,0.943034318,0.890859333,0.853457153,59.6932373,0.921264158,0.883017887,1
0.693194764,58.98863084,0.962638676,0.771189766,0.69095132,84.16156006,0.946824933,0.754452664,0.693179961,57.73659411,0.963431672,0.770537451,0.690993617,77.37158203,0.951114986,0.753997298,1
0.829902556,44.51203794,0.956518291,0.870623127,0.828332952,67.5921936,0.934186952,0.862306094,0.829918494,42.89457685,0.958098313,0.87152829,0.828622884,53.84991455,0.94756751,0.863313626,1
0.852900451,30.6146948,0.949775164,0.89001248,0.85155848,43.572052,0.92875584,0.882746937,0.852886576,30.86876824,0.949358345,0.891542175,0.851619134,42.56689453,0.930399361,0.882426203,1
0.890751952,29.28717777,0.921162726,0.920243548,0.889726115,40.61114502,0.89106403,0.91381947,0.890644833,31.74644334,0.914542703,0.919681514,0.889741618,39.19308472,0.894867857,0.914114845,1
0.874915525,30.12941576,0.939367472,0.908843749,0.873670367,44.11114211,0.911538961,0.900352898,0.874830922,33.98335495,0.931615505,0.907853119,0.873795402,42.88817584,0.913991513,0.901681351,1
0.83624385,43.8853964,0.952751749,0.878322785,0.834988077,54.93292236,0.941050833,0.869796243,0.836350068,41.31666464,0.955517318,0.878420881,0.834849954,62.293396,0.933152222,0.868275702,1
0.768597846,97.35521036,0.949514789,0.825312659,0.766738372,127.7988586,0.933922282,0.812938401,0.769357796,79.29191999,0.958881818,0.825455889,0.766662191,124.6348267,0.935558228,0.812992013,1
0.877285888,30.62098735,0.944414083,0.909937744,0.876024408,46.61169434,0.915675822,0.903010587,0.87708844,35.5964251,0.935382229,0.909582377,0.876055024,46.45220947,0.915964343,0.902667794,1
0.866693791,40.01167315,0.939307848,0.899068917,0.865665603,50.10189819,0.92425931,0.893459654,0.866800891,37.72565054,0.942775427,0.90044824,0.865467296,57.96218872,0.912376649,0.89314446,1
0.776238705,58.72501216,0.960312053,0.829143704,0.774530735,79.35443115,0.946529267,0.816917522,0.776329668,53.99112354,0.963511343,0.829096965,0.774623512,77.76147461,0.947602636,0.81803848,1
0.876431538,35.8905946,0.937434502,0.906544002,0.875243335,52.84362793,0.908196873,0.899068503,0.876385998,39.60186649,0.930964908,0.905883414,0.87538123,48.65963745,0.915465553,0.899763779,1
0.789225504,70.88372446,0.956997395,0.844156696,0.787890823,96.79489136,0.941409266,0.833099992,0.789254815,75.57716744,0.954189036,0.841851413,0.787508657,107.5370636,0.934906075,0.831508362,1
0.886298637,30.53948808,0.935670355,0.916271897,0.885271357,42.58520508,0.910607307,0.909667665,0.886298856,33.32757782,0.929797407,0.915855616,0.88502675,49.31268311,0.896485328,0.908639405,1
0.839390602,44.96595331,0.946195694,0.879482392,0.838314664,53.13473511,0.936629071,0.871452008,0.839785429,36.16196498,0.956730164,0.879811293,0.838222702,56.53149414,0.93257794,0.870784969,1
0.865767974,34.73321984,0.939207331,0.899587515,0.864536951,46.53231812,0.918828372,0.892153694,0.865782504,33.56675584,0.941248963,0.899655464,0.864613659,46.0461731,0.91967641,0.89295826,1
0.758741494,58.01875608,0.96265127,0.817973007,0.757070263,72.04373169,0.953756467,0.806943824,0.758967943,52.64941026,0.966107709,0.818023342,0.756673288,87.74740601,0.94367657,0.804206087,1
0.841297497,38.63925705,0.947652631,0.883078104,0.839862029,57.10165405,0.922893156,0.874226468,0.84132751,38.15089981,0.948314244,0.883004698,0.83983074,57.0630188,0.922945327,0.873432083,1
0.824889492,43.21826362,0.954617883,0.866618408,0.823421967,60.28518677,0.936898063,0.858410861,0.824860121,40.96197106,0.956987144,0.867868246,0.823467579,55.71844482,0.94167818,0.858986911,1
0.825440954,41.4374088,0.957070644,0.8673483,0.823974001,58.57345581,0.939511079,0.857668738,0.825487115,38.38709874,0.96023078,0.868827389,0.823974134,53.24533081,0.945013444,0.859846602,1
0.861400423,28.83244163,0.943418153,0.897337457,0.860136185,40.50143433,0.920784232,0.889645498,0.861278881,31.04727018,0.939071692,0.896956067,0.860105607,40.89437866,0.920015681,0.889661857,1
0.862139804,31.32624027,0.93326109,0.895511166,0.860879562,41.3848877,0.912125791,0.888684211,0.862201454,28.36132053,0.939577696,0.896788333,0.861001615,39.12164307,0.91693143,0.889282404,1
0.860295869,27.46966196,0.950369173,0.894729366,0.85907466,39.76895142,0.928386953,0.886300064,0.860143836,32.57447714,0.941146046,0.893581413,0.858891321,42.85379028,0.922831998,0.886283205,1
0.880596018,46.10435919,0.913412267,0.910714837,0.879516096,62.17010498,0.883642886,0.904289921,0.880732558,44.73370623,0.915986464,0.910376575,0.879622703,55.9855957,0.895217768,0.903777346,1
0.804591686,51.7031554,0.951511771,0.852754144,0.803073059,72.03497314,0.93265433,0.842210559,0.804850397,49.86639713,0.953234319,0.852014839,0.803134775,69.92098999,0.934630698,0.841594906,1
0.85310841,40.125,0.939738317,0.889566617,0.85190465,55.17993164,0.917401341,0.882243482,0.853078534,42.21121109,0.936605144,0.889213023,0.851812657,53.35855103,0.92012776,0.880958929,1
0.874808067,37.67071984,0.939080551,0.906515514,0.873750849,49.45645142,0.920294729,0.900612253,0.874808215,40.02684217,0.935270333,0.906541338,0.873644023,57.52877808,0.907285163,0.89992533,1
0.798272587,57.21108949,0.959406769,0.848686,0.796500269,80.41903687,0.943113298,0.838464142,0.798440964,53.48373662,0.962051454,0.850020116,0.796698749,76.82891846,0.945652871,0.83748575,1
0.863359685,41.62019698,0.943542809,0.896159511,0.86216682,58.03271484,0.921544584,0.889399268,0.863466588,37.75142875,0.948790737,0.896872854,0.862166962,56.11288452,0.924140035,0.889957353,1
0.846224968,47.96069431,0.942319447,0.884355528,0.84496337,65.39071655,0.92161521,0.877210362,0.84625561,47.29663181,0.943118091,0.88504826,0.844825761,67.62457275,0.918937455,0.875720178,1
0.872357104,37.20196984,0.940496202,0.903218512,0.871153585,52.94033813,0.915610319,0.896777532,0.872129437,43.35913181,0.930647946,0.902997088,0.87112336,55.28848267,0.911867253,0.896749996,1
0.828668895,56.94339737,0.949413681,0.870683351,0.827430484,73.71542358,0.934725464,0.862122461,0.829095976,49.38712913,0.956126378,0.872278135,0.82743106,73.33242798,0.935064604,0.862543839,1
0.862800638,36.62925584,0.950311669,0.893720123,0.861528742,52.02548218,0.92966366,0.887438113,0.862770375,36.15004864,0.950961723,0.894865016,0.861620499,47.66775513,0.93555513,0.887856185,1
0.836044734,54.83098249,0.94921589,0.874984935,0.834849903,69.54788208,0.935791068,0.867201017,0.836365183,44.48051435,0.958802428,0.87641277,0.834773205,67.19424438,0.937964025,0.867147358,1
0.867161847,45.1848553,0.944871275,0.89810325,0.8660592,59.43273926,0.927730935,0.891637081,0.867420463,38.3827821,0.953170286,0.900194989,0.866166761,54.99447632,0.933127777,0.893603535,1
0.815175445,50.59049732,0.958359124,0.860751179,0.813563275,73.07354736,0.940040475,0.851083807,0.815054981,53.20728964,0.956205251,0.862132354,0.813547986,72.19592285,0.940760598,0.850822784,1
0.853225397,25.11129013,0.956741605,0.891212189,0.851929005,32.85574341,0.943586525,0.884041003,0.853255096,22.38971304,0.961429977,0.890490684,0.852019601,28.99368286,0.950217702,0.882683879,1
0.901828327,26.83624149,0.927769696,0.926199908,0.90083243,35.8868103,0.903749688,0.921875535,0.901859198,26.01978964,0.929967194,0.926479805,0.900832323,38.20898438,0.897521495,0.921706824,1
0.855724877,32.15123419,0.950010569,0.891942698,0.854210534,48.08816528,0.925478869,0.884834761,0.855663858,33.64679596,0.947685237,0.891966395,0.854561201,42.93878174,0.933458751,0.884527931,1
0.851457869,31.29088643,0.951921836,0.887220889,0.850292382,38.50933838,0.941024623,0.880766229,0.851503646,28.92230058,0.955561147,0.888099816,0.850124561,42.86575317,0.934352963,0.879541869,1
0.861190039,26.80787938,0.953468465,0.895434043,0.85986578,37.75921631,0.934677269,0.888046689,0.861311563,26.62259849,0.953790065,0.894518497,0.860201193,33.32342529,0.942351104,0.888325141,1
0.855464646,25.81356396,0.959114169,0.892434424,0.854178235,35.96994019,0.943215342,0.885144095,0.855448543,24.88424125,0.960586114,0.891161023,0.854239147,32.20904541,0.949152553,0.884754052,1
0.877348958,32.57891537,0.93691935,0.908002725,0.876103139,44.65814209,0.913825796,0.902275897,0.877440688,27.84274684,0.946089717,0.910130697,0.876439153,37.37564087,0.927878413,0.903521425,1
0.858384098,30.82976654,0.948783674,0.893155469,0.857124712,41.1897583,0.931798718,0.887091847,0.858567077,28.39697836,0.952825173,0.894453462,0.857216301,39.78988647,0.934116601,0.887395337,1
0.8139971,38.52839251,0.957616723,0.85717539,0.812531956,55.30871582,0.939344645,0.847801691,0.813953821,40.14755593,0.955835557,0.857823745,0.812333769,52.8744812,0.942014195,0.848916501,1
0.84476142,28.92600924,0.952993968,0.885086782,0.843507334,38.69354248,0.937325314,0.877230704,0.844851524,28.34067972,0.953945154,0.884834488,0.843506655,36.66229248,0.940615474,0.876941594,1
0.860134206,37.81997811,0.951305779,0.894000132,0.859050959,51.19104004,0.934310315,0.886190739,0.860210282,40.33232004,0.948071073,0.893482959,0.858669641,57.59915161,0.926087259,0.88588801,1
0.822440947,35.22069553,0.96333531,0.862555969,0.820979009,47.77633667,0.950419727,0.854107447,0.822396346,34.40862111,0.964180678,0.863851376,0.820765742,49.82891846,0.948289644,0.853525905,1
0.863834327,31.58767023,0.94481098,0.898028039,0.862581853,42.76080322,0.925539022,0.891637308,0.864032624,27.16777116,0.952533294,0.899710705,0.862810455,36.40374756,0.936608799,0.891594775,1
0.866666552,19.69136065,0.960341182,0.901081389,0.865546501,26.55276489,0.946700094,0.895385974,0.866621578,21.34934339,0.95700197,0.901374744,0.865424083,26.72540283,0.946353555,0.895092215,1
0.857146984,37.07195404,0.955253984,0.89174212,0.855730516,58.49554443,0.929632632,0.882705603,0.856827388,45.90442607,0.94459315,0.889863172,0.855730208,56.51861572,0.932010783,0.883204291,1
0.791002402,48.86642753,0.954117252,0.836500425,0.789614813,60.29174805,0.943556823,0.826722944,0.791217311,44.84931299,0.95788909,0.838225697,0.789217928,67.64627075,0.936671758,0.827243556,1
0.88205879,29.35214008,0.939623044,0.912550486,0.880999656,38.97674561,0.920099713,0.906166351,0.882195453,27.51167315,0.943408859,0.912830918,0.881167157,34.85906982,0.928540732,0.90651544,1
0.783845187,32.1040856,0.953420193,0.842145763,0.782161807,43.47106934,0.93711067,0.831811731,0.783829598,33.05675462,0.952037966,0.842275396,0.78194765,46.06256104,0.933361575,0.830921894,1
0.782470167,67.30435311,0.980583032,0.861961684,0.78075648,92.69854736,0.973332703,0.847922873,0.78231887,71.4764713,0.979379397,0.862809488,0.780632774,93.90518188,0.972985582,0.846903337,1
0.662315372,80.35812865,0.978438679,0.791972411,0.659859756,109.0705261,0.970791997,0.770881439,0.662513969,75.35381201,0.979781414,0.796568169,0.660085894,103.2139587,0.972360328,0.770113703,1
0.778074195,67.54799976,0.98023293,0.86321222,0.775897067,104.8323364,0.969408303,0.844071496,0.77790685,72.90558123,0.978665102,0.861921093,0.776329226,92.28659058,0.973069346,0.848635249,1
0.804393212,51.52580861,0.978761177,0.878763231,0.802879395,71.18441772,0.97074511,0.864259789,0.804535639,49.04590224,0.979783389,0.882301614,0.802836722,68.15811157,0.971988841,0.867339922,1
0.74092908,72.52589981,0.982258591,0.837324197,0.738865471,102.8600159,0.974902633,0.819433755,0.740739055,78.45537451,0.980808112,0.839451276,0.739124457,93.38787842,0.977213791,0.820678503,1
